Date,Total
8/16/2018 11:00,6632
8/16/2018 12:00,8150
8/16/2018 13:00,6810
8/16/2018 14:00,5612
8/16/2018 15:00,6479
8/16/2018 16:00,5615
8/16/2018 17:00,4596
8/16/2018 18:00,3481
8/16/2018 19:00,1962
8/16/2018 20:00,1197
8/16/2018 21:00,1102
8/16/2018 22:00,746
8/16/2018 23:00,672
8/17/2018 0:00,460
8/17/2018 1:00,305
8/17/2018 2:00,278
8/17/2018 3:00,283
8/17/2018 4:00,287
8/17/2018 5:00,398
8/17/2018 6:00,834
8/17/2018 7:00,1485
8/17/2018 8:00,2459
8/17/2018 9:00,3034
8/17/2018 10:00,3659
8/17/2018 11:00,4083
8/17/2018 12:00,4054
8/17/2018 13:00,3941
8/17/2018 14:00,3377
8/17/2018 15:00,2576
8/17/2018 16:00,2542
8/17/2018 17:00,2389
8/17/2018 18:00,2343
8/17/2018 19:00,1997
8/17/2018 20:00,1119
8/17/2018 21:00,1024
8/17/2018 22:00,942
8/17/2018 23:00,721
8/18/2018 0:00,427
8/18/2018 1:00,348
8/18/2018 2:00,276
8/18/2018 3:00,242
8/18/2018 4:00,251
8/18/2018 5:00,318
8/18/2018 6:00,538
8/18/2018 7:00,815
8/18/2018 8:00,1842
8/18/2018 9:00,2313
8/18/2018 10:00,2512
8/18/2018 11:00,2841
8/18/2018 12:00,2694
8/18/2018 13:00,2597
8/18/2018 14:00,2248
8/18/2018 15:00,2035
8/18/2018 16:00,1975
8/18/2018 17:00,1925
8/18/2018 18:00,1597
8/18/2018 19:00,1315
8/18/2018 20:00,997
8/18/2018 21:00,887
8/18/2018 22:00,800
8/18/2018 23:00,663
8/19/2018 0:00,550
8/19/2018 1:00,332
8/19/2018 2:00,264
8/19/2018 3:00,290
8/19/2018 4:00,252
8/19/2018 5:00,320
8/19/2018 6:00,497
8/19/2018 7:00,725
8/19/2018 8:00,1551
8/19/2018 9:00,2328
8/19/2018 10:00,2623
8/19/2018 11:00,3091
8/19/2018 12:00,2871
8/19/2018 13:00,2577
8/19/2018 14:00,2383
8/19/2018 15:00,2451
8/19/2018 16:00,2293
8/19/2018 17:00,2283
8/19/2018 18:00,1970
8/19/2018 19:00,1913
8/19/2018 20:00,1372
8/19/2018 21:00,875
8/19/2018 22:00,701
8/19/2018 23:00,601
8/20/2018 0:00,347
8/20/2018 1:00,246
8/20/2018 2:00,290
8/20/2018 3:00,263
8/20/2018 4:00,309
8/20/2018 5:00,1092
8/20/2018 6:00,2990
8/20/2018 7:00,7614
8/20/2018 8:00,13315
8/20/2018 9:00,15935
8/20/2018 10:00,17060
8/20/2018 11:00,17809
8/20/2018 12:00,17174
8/20/2018 13:00,16382
8/20/2018 14:00,15114
8/20/2018 15:00,11907
8/20/2018 16:00,11944
8/20/2018 17:00,9024
8/20/2018 18:00,6803
8/20/2018 19:00,4198
8/20/2018 20:00,3016
8/20/2018 21:00,1798
8/20/2018 22:00,1189
8/20/2018 23:00,687
8/21/2018 0:00,476
8/21/2018 1:00,318
8/21/2018 2:00,334
8/21/2018 3:00,289
8/21/2018 4:00,587
8/21/2018 5:00,1045
8/21/2018 6:00,2701
8/21/2018 7:00,6262
8/21/2018 8:00,15011
8/21/2018 9:00,11122
8/21/2018 10:00,17322
8/21/2018 11:00,18654
8/21/2018 12:00,12812
8/21/2018 13:00,17649
8/21/2018 14:00,15681
8/21/2018 15:00,9689
8/21/2018 16:00,11381
8/21/2018 17:00,8356
8/21/2018 18:00,5806
8/21/2018 19:00,4415
8/21/2018 20:00,2953
8/21/2018 21:00,2307
8/21/2018 22:00,1354
8/21/2018 23:00,670
8/22/2018 0:00,465
8/22/2018 1:00,396
8/22/2018 2:00,303
8/22/2018 3:00,269
8/22/2018 4:00,332
8/22/2018 5:00,1037
8/22/2018 6:00,2748
8/22/2018 7:00,6162
8/22/2018 8:00,12260
8/22/2018 9:00,14907
8/22/2018 10:00,15694
8/22/2018 11:00,17543
8/22/2018 12:00,17662
8/22/2018 13:00,16933
